,name,company,year,Price,kms_driven,fuel_type
383,Maruti Suzuki Ertiga,Maruti,2013,"4,50,000",90000,Diesel
384,Honda City,Honda,2000,"65,000",80000,Petrol
385,Hyundai Santro Xing,Hyundai,2006,"75,000",46000,Petrol
386,Maruti Suzuki Omni,Maruti,2001,"70,000",70000,Petrol
387,Hyundai Sonata Transform,Hyundai,2017,"1,90,000",36469,Diesel
388,Hyundai Elite i20,Hyundai,2018,"6,00,000",7800,Petrol
389,Volkswagen Vento Konekt,Volkswagen,2011,"2,45,000",65000,Diesel
390,Maruti Suzuki Alto,Maruti,2017,"2,40,000",60000,Petrol
391,Maruti Suzuki Alto,Maruti,2011,"1,55,000",32000,Petrol
392,Honda Jazz S,Honda,2009,"1,69,999",24695,Petrol
393,Hyundai Grand i10,Hyundai,2017,"4,50,000",15141,Petrol
394,Maruti Suzuki Zen,Maruti,2001,"40,000",40000,Petrol
395,Mahindra Scorpio W,Mahindra,2012,"1,65,000",65000,Diesel
396,Maruti Suzuki Alto,Maruti,2014,"2,70,000",22000,Petrol
397,Hyundai Grand i10,Hyundai,2016,"2,80,000",59910,Diesel
398,Mahindra XUV500 W8,Mahindra,2012,"5,60,000",100000,Diesel
399,Hyundai Creta 1.6,Hyundai,2016,"9,50,000",25000,Petrol
400,Hyundai i20 Magna,Hyundai,2013,"3,10,000",35000,Petrol
401,Renault Duster 85,Renault,2015,"7,15,000",65000,Diesel
402,Hyundai Grand i10,Hyundai,2014,"3,40,000",35000,Petrol
403,Honda Brio V,Honda,2012,"2,35,000",33000,Petrol
404,Mahindra TUV300 T4,Mahindra,2017,"6,10,000",68000,Diesel
405,Chevrolet Spark LS,Chevrolet,2010,"95,000",23000,Petrol
406,Mahindra TUV300 T8,Mahindra,2018,"10,00,000",4500,Diesel
407,Maruti Suzuki Swift,Maruti,2015,"2,20,000",129000,Diesel
408,Nissan X Trail,Nissan,2019,"12,00,000",300,Diesel
409,Maruti Suzuki Alto,Maruti,2015,"2,30,000",5000,Petrol
410,Ford Ikon 1.3,Ford,2001,"45,000",65000,Petrol
411,Toyota Fortuner 3.0,Toyota,2010,"9,40,000",131000,Diesel
412,Tata Manza ELAN,Tata,2010,"1,55,555",111111,Petrol
413,Mercedes Benz A,Mercedes,2013,"15,00,000",14000,Petrol
414,Chevrolet Beat LS,Chevrolet,2016,"2,10,000",22000,Diesel
415,Ford EcoSport Trend,Ford,2013,"4,95,000",38000,Diesel
416,Tata Indigo LS,Tata,2016,"1,25,000",70000,Diesel
417,Hyundai i20 Magna,Hyundai,2010,"1,95,000",36000,Petrol
418,Volkswagen Vento Highline,Volkswagen,2015,"5,50,000",34000,Diesel
419,Renault Kwid RXT,Renault,2015,"2,70,000",43000,Petrol
420,Ford EcoSport Titanium,Ford,2014,"5,00,000",40000,Diesel
421,Honda Amaze 1.5,Honda,2016,"2,40,000",160000,Diesel
422,Hyundai Verna 1.6,Hyundai,2017,"8,00,000",12000,Petrol
423,BMW 5 Series,BMW,2011,"12,99,000",49000,Diesel
424,Skoda Superb 1.8,Skoda,2011,"5,30,000",68000,Petrol
425,Audi Q3 2.0,Audi,2013,"14,99,000",37000,Diesel
426,Mahindra Bolero DI,Mahindra,2012,"2,20,000",59466,Diesel
427,Mahindra Scorpio S10,Mahindra,2015,"9,00,000",97200,Diesel
428,Ford Figo Duratorq,Ford,2012,"2,50,000",99000,Diesel
429,Maruti Suzuki Wagon,Maruti,2018,"3,95,000",25500,Petrol
430,Mahindra Logan Diesel,Mahindra,2009,"1,30,000",66000,Petrol
431,Tata Nano GenX,Tata,2010,"32,000",44005,Petrol
432,Mahindra TUV300 T4,Mahindra,2016,"5,40,000",35000,Diesel
433,Mahindra TUV300 T4,Mahindra,2016,"5,40,000",35000,Diesel
434,Hyundai Elite i20,Hyundai,2015,"4,05,000",28000,Petrol
435,Hyundai Elite i20,Hyundai,2015,"4,00,000",30000,Petrol
436,Honda City SV,Honda,2017,"7,60,000",4000,Petrol
437,Maruti Suzuki Baleno,Maruti,2016,"5,00,000",28000,Petrol
438,Ford Figo Petrol,Ford,2011,"1,75,000",75000,Petrol
439,Mahindra Scorpio S10,Mahindra,2015,"9,00,000",97200,Diesel
440,Honda City,Honda,2017,"7,50,000",3000,Petrol
441,Hyundai Elite i20,Hyundai,2015,"4,19,000",20000,Petrol
442,Maruti Suzuki Versa,Maruti,2004,"90,000",50000,Petrol
443,Hyundai Eon Era,Hyundai,2018,"1,40,000",2110,Petrol
444,Mitsubishi Pajero Sport,Mitsubishi,2015,"15,40,000",43222,Petrol
445,Hyundai i10 Magna,Hyundai,2008,"2,75,000",100200,Petrol
446,Toyota Corolla H2,Toyota,2003,"1,50,000",100000,Petrol
447,Maruti Suzuki Swift,Maruti,2011,"2,30,000",65,Petrol
448,Tata Indigo CS,Tata,2015,"1,23,000",100000,Diesel
449,Mahindra Scorpio S10,Mahindra,2015,"9,00,000",97200,Diesel
450,Mahindra Scorpio S10,Mahindra,2015,"9,00,000",97200,Diesel
451,Hyundai Xcent Base,Hyundai,2016,"3,00,000",140000,Diesel
452,Honda City,Honda,2015,"4,99,999",55000,Petrol
453,Hyundai Accent Executive,Hyundai,2009,"1,65,000",48000,Petrol
454,Maruti Suzuki Baleno,Maruti,2016,"4,98,000",22000,Petrol
455,Tata Zest XE,Tata,2018,"4,80,000",103553,Diesel
456,Maruti Suzuki Dzire,Maruti,2017,"4,88,000",80000,Diesel
457,Tata Sumo Gold,Tata,2014,"2,50,000",99000,Diesel
458,Toyota Corolla Altis,Toyota,2010,"2,20,000",58000,Petrol
459,Maruti Suzuki Eeco,Maruti,2013,"2,90,000",70000,LPG
460,Toyota Fortuner 3.0,Toyota,2015,"15,25,000",120000,Diesel
461,Mahindra XUV500 W6,Mahindra,2013,"5,48,900",49800,Diesel
462,Tata Tigor Revotron,Tata,2019,"6,50,000",100,Diesel
463,Maruti Suzuki 800,Maruti,2001,"55,000",81876,Petrol
464,Maruti Suzuki Ertiga,Maruti,2015,"5,50,000",75000,Petrol
465,Maruti Suzuki Versa,Maruti,2004,"90,000",50000,Petrol
466,Honda Mobilio S,Honda,2014,"3,99,000",44000,Diesel
467,Maruti Suzuki Ertiga,Maruti,2016,"7,30,000",55000,Diesel
468,Maruti Suzuki Vitara,Maruti,2017,"7,25,000",36000,Diesel
469,Hyundai Verna 1.6,Hyundai,2016,"1,95,000",56000,Diesel
470,Maruti Suzuki Swift,Maruti,2007,"1,30,000",62000,Petrol
471,Toyota Fortuner 3.0,Toyota,2015,"15,25,000",120000,Diesel
472,Maruti Suzuki Omni,Maruti,2014,"1,90,000",6020,Petrol
473,Honda Amaze,Honda,2013,"2,50,000",55700,Diesel
474,Tata Indica,Tata,2005,"80,000",42000,Petrol
475,Hyundai Santro Xing,Hyundai,2003,"1,20,000",50000,Petrol
476,Maruti Suzuki Zen,Maruti,2010,"1,49,000",35000,Petrol
477,Maruti Suzuki Wagon,Maruti,2014,"2,50,000",18500,Petrol
478,Maruti Suzuki Wagon,Maruti,2007,"1,20,000",7000,Petrol
479,Honda Brio VX,Honda,2017,"4,50,000",11000,Petrol
480,Maruti Suzuki Zen,Maruti,2003,"99,999",53000,Petrol
481,Maruti Suzuki Zen,Maruti,2008,"1,35,000",23000,Petrol
482,Maruti Suzuki Wagon,Maruti,2016,"2,25,000",35500,Diesel
483,Maruti Suzuki Alto,Maruti,2010,"99,000",22134,Petrol
484,Renault Kwid RXT,Renault,2019,"3,70,000",1000,Petrol
485,Tata Nano Lx,Tata,2010,"52,000",9000,Petrol
486,Jaguar XE XE,Jaguar,2016,"28,00,000",8500,Petrol
487,Hyundai Eon Magna,Hyundai,2014,"1,90,000",35000,Petrol
488,Honda City 1.5,Honda,2014,"4,99,000",22000,Petrol
489,Hindustan Motors Ambassador,Hindustan,2002,"90,000",25000,Diesel
490,Maruti Suzuki Ritz,Maruti,2010,"1,49,000",40000,Petrol
491,Hyundai Grand i10,Hyundai,2017,"4,00,000",20000,Petrol
492,Hyundai Eon D,Hyundai,2016,"1,20,000",87000,Petrol
493,Maruti Suzuki Swift,Maruti,2015,"2,50,000",55000,Petrol
494,Maruti Suzuki Wagon,Maruti,2017,"3,75,000",23000,Petrol
495,Honda Amaze 1.2,Honda,2014,"3,81,000",6000,Petrol
496,Maruti Suzuki Estilo,Maruti,2013,"1,80,000",65000,Petrol
497,Maruti Suzuki Vitara,Maruti,2016,"5,80,000",25000,Diesel
498,Maruti Suzuki Eeco,Maruti,2015,"2,78,000",39000,Petrol
499,Hyundai Creta 1.6,Hyundai,2016,"10,00,000",8000,Petrol
500,Mahindra Scorpio Vlx,Mahindra,2013,"6,90,000",75000,Diesel
501,Maruti Suzuki Ertiga,Maruti,2012,"4,80,000",51000,Diesel
502,Mitsubishi Lancer 1.8,Mitsubishi,2006,"85,000",50000,Petrol
503,Maruti Suzuki Maruti,Maruti,2001,"40,000",75000,Petrol
504,Maruti Suzuki Alto,Maruti,2015,"90,000",55800,Petrol
505,Hyundai Grand i10,Hyundai,2015,"3,40,000",53000,Petrol
506,Hyundai Eon D,Hyundai,2018,"2,60,000",25000,Petrol
507,Ford Fiesta SXi,Ford,2009,"2,50,000",56400,Petrol
508,Maruti Suzuki Ritz,Maruti,2010,"1,80,000",72160,Diesel
509,Hyundai Verna Fluidic,Hyundai,2012,"3,50,000",10000,Diesel
510,Maruti Suzuki Wagon,Maruti,2006,"90,001",48000,Petrol
511,Maruti Suzuki Estilo,Maruti,2007,"1,15,000",36000,Petrol
512,Audi A6 2.0,Audi,2012,"15,99,000",11500,Diesel
513,Maruti Suzuki Wagon,Maruti,2003,"1,30,000",133000,Petrol
514,Maruti Suzuki Wagon,Maruti,2009,"1,59,000",27000,Petrol
515,Maruti Suzuki Wagon,Maruti,2009,"1,60,000",35000,Petrol
516,Maruti Suzuki Alto,Maruti,2010,"1,10,000",55000,Petrol
517,Maruti Suzuki Baleno,Maruti,2016,"4,25,000",40000,Petrol
518,Hyundai Verna 1.6,Hyundai,2019,"9,00,000",2000,Petrol
519,Maruti Suzuki Swift,Maruti,2009,"1,50,000",45000,Petrol
520,Hyundai Getz Prime,Hyundai,2009,"1,10,000",20000,Petrol
521,Hyundai Santro,Hyundai,2000,"51,999",88000,Petrol
522,Hyundai Getz Prime,Hyundai,2009,"1,15,000",20000,Petrol
523,Chevrolet Beat PS,Chevrolet,2012,"2,15,000",65422,Diesel
524,Ford EcoSport Trend,Ford,2017,"5,80,000",10000,Petrol
525,Maruti Suzuki Dzire,Maruti,2013,"3,80,000",35000,Petrol
526,Hyundai Fluidic Verna,Hyundai,2013,"3,50,000",117000,Diesel
527,Tata Indica V2,Tata,2005,"35,000",150000,Diesel
528,BMW X1 xDrive20d,BMW,2011,"11,50,000",72000,Diesel
529,Hyundai i20 Asta,Hyundai,2010,"3,00,000",10750,Petrol
530,Honda City 1.5,Honda,2009,"2,69,000",55000,Petrol
531,Tata Nano,Tata,2013,"60,000",6800,Petrol
532,Chevrolet Cruze LTZ,Chevrolet,2014,"4,00,000",41000,Diesel
533,Hyundai Verna Fluidic,Hyundai,2015,"4,30,000",73000,Diesel
534,Maruti Suzuki Swift,Maruti,2011,"1,40,000",65000,Diesel
535,Mahindra XUV500 W6,Mahindra,2014,"85,00,003",45000,Diesel
536,Mahindra XUV500 W10,Mahindra,2018,"12,99,000",40000,Diesel
537,Maruti Suzuki Alto,Maruti,2014,"1,99,000",37000,Petrol
538,Hyundai Accent GLE,Hyundai,2006,"90,000",55000,Petrol
539,Force Motors One,Force,2013,"5,50,000",140000,Diesel
540,Maruti Suzuki Alto,Maruti,2019,"2,65,000",9800,Petrol
541,Chevrolet Spark 1.0,Chevrolet,2011,"1,00,000",27000,Petrol
542,Hyundai i10,Hyundai,2009,"2,15,000",27000,Petrol
543,Toyota Etios Liva,Toyota,2012,"3,80,000",20000,Diesel
544,Renault Duster 85PS,Renault,2013,"4,01,919",57923,Diesel
545,Chevrolet Enjoy,Chevrolet,2014,"4,90,000",30201,Diesel
546,Maruti Suzuki Alto,Maruti,2017,"2,80,000",6200,Petrol
547,BMW 5 Series,BMW,2009,"6,50,000",37518,Petrol
548,Toyota Etios Liva,Toyota,2014,"1,60,000",24652,Petrol
549,Mahindra Jeep MM,Mahindra,2004,"4,24,000",383,Diesel
550,Chevrolet Beat LS,Chevrolet,2016,"2,25,000",95000,Diesel
551,Chevrolet Cruze LTZ,Chevrolet,2011,"3,50,000",35000,Diesel
552,Jeep Wrangler Unlimited,Jeep,2015,"9,50,000",3528,Diesel
553,Maruti Suzuki Ertiga,Maruti,2013,"4,85,000",52500,Diesel
554,Hyundai Verna VGT,Hyundai,2010,"2,05,000",47900,Diesel
555,Maruti Suzuki Omni,Maruti,2012,"1,60,000",14000,Petrol
556,Maruti Suzuki Celerio,Maruti,2018,"3,10,000",37000,Petrol
557,Tata Zest Quadrajet,Tata,2017,"1,80,000",90000,Diesel
558,Mahindra XUV500 W6,Mahindra,2013,"5,49,900",52800,Diesel
559,Tata Indigo CS,Tata,2016,"1,50,000",104000,Diesel
560,Hyundai i10 Era,Hyundai,2011,"1,75,000",30000,Petrol
561,Tata Indigo eCS,Tata,2014,"95,000",195000,Diesel
562,Tata Indigo LX,Tata,2016,"2,30,000",104000,Diesel
563,Tata Indigo eCS,Tata,2016,"2,30,000",104000,Diesel
564,Tata Indigo Marina,Tata,2004,"1,80,000",70000,Diesel
565,Hyundai Xcent SX,Hyundai,2015,"4,00,000",43000,Diesel
566,Hyundai Eon Magna,Hyundai,2013,"1,85,000",23000,Petrol
567,Renault Duster 85,Renault,2015,"3,85,000",51000,Diesel
568,Maruti Suzuki Alto,Maruti,2009,"90,000",62000,Petrol
569,Tata Nano LX,Tata,2010,"32,000",48008,Petrol
570,Renault Duster 110,Renault,2013,"4,35,000",39000,Diesel
571,Maruti Suzuki Wagon,Maruti,2010,"2,25,000",40000,Petrol
572,Maruti Suzuki Swift,Maruti,2006,"1,89,700",48247,Petrol
573,Maruti Suzuki Ertiga,Maruti,2012,"3,89,700",39000,Diesel
574,Maruti Suzuki Swift,Maruti,2014,"3,65,000",23000,Petrol
575,Maruti Suzuki Alto,Maruti,2017,"3,60,000",9400,Petrol
576,Hyundai i20 Magna,Hyundai,2010,"2,10,000",50000,Petrol
577,Hyundai i10 Magna,Hyundai,2009,"1,70,000",75000,Petrol
578,Tata Zest XE,Tata,2017,"3,80,000",70000,Diesel
579,Mahindra Xylo E8,Mahindra,2009,"2,95,000",64000,Diesel
580,Toyota Corolla Altis,Toyota,2010,"1,85,000",55000,Petrol
581,Tata Manza Aqua,Tata,2014,"1,60,000",200000,Diesel
582,Renault Kwid 1.0,Renault,2018,"2,90,000",2137,Petrol
583,Tata Venture EX,Tata,2013,"1,00,000",30000,Diesel
584,Maruti Suzuki Swift,Maruti,2014,"3,15,000",44000,Petrol
585,Skoda Octavia Classic,Skoda,2006,"1,14,990",65000,Diesel
586,Maruti Suzuki Omni,Maruti,2012,"1,20,000",160000,LPG
587,Chevrolet Beat Diesel,Chevrolet,2011,"1,25,000",56000,Diesel
588,Tata Sumo Gold,Tata,2012,"2,10,000",75000,Diesel
589,Hyundai Verna 1.6,Hyundai,2018,"8,55,000",42000,Diesel
590,Tata Sumo Gold,Tata,2012,"2,10,000",75000,Diesel
591,Mahindra Scorpio 2.6,Mahindra,2007,"2,60,000",56000,Diesel
592,Maruti Suzuki Zen,Maruti,2002,"95,000",10544,Petrol
593,Maruti Suzuki Swift,Maruti,2011,"2,55,000",64000,Petrol
594,Mahindra Scorpio SLX,Mahindra,2008,"3,00,000",70000,Diesel
595,Hyundai Grand i10,Hyundai,2014,"3,40,000",25000,Petrol
596,Hyundai Elite i20,Hyundai,2017,"5,50,000",15000,Petrol
597,Ford Ikon 1.6,Ford,2003,"60,000",50000,Petrol
598,Toyota Innova 2.5,Toyota,2011,"7,50,000",147000,Diesel
599,Nissan Sunny XL,Nissan,2011,"2,30,000",52000,Petrol
600,Chevrolet Beat LT,Chevrolet,2012,"1,30,000",90001,Diesel
601,Maruti Suzuki Alto,Maruti,2017,"2,70,000",21000,Petrol
602,Maruti Suzuki Swift,Maruti,2012,"2,80,000",48006,Diesel
603,Maruti Suzuki Swift,Maruti,2012,"2,80,000",48006,Diesel
604,Maruti Suzuki Swift,Maruti,2012,"2,80,000",48006,Diesel
605,Toyota Innova 2.0,Toyota,2012,"6,00,000",80000,Diesel
606,Maruti Suzuki Swift,Maruti,2010,"1,90,000",74000,Diesel
607,Hyundai Elite i20,Hyundai,2015,"5,00,000",22000,Petrol
608,Mahindra XUV500 W10,Mahindra,2016,"10,65,000",41000,Diesel
609,Volkswagen Polo Trendline,Volkswagen,2015,"3,50,000",25000,Diesel
610,Toyota Etios Liva,Toyota,2012,"3,50,000",85000,Diesel
611,Mahindra TUV300 T4,Mahindra,2016,"5,40,000",29500,Diesel
612,Hyundai Elite i20,Hyundai,2015,"4,70,000",30000,Petrol
613,Hyundai Santro Xing,Hyundai,2014,"1,79,000",57000,Petrol
614,Maruti Suzuki Zen,Maruti,2003,"48,000",60000,Petrol
615,Maruti Suzuki Ciaz,Maruti,2016,"6,50,000",50000,Petrol
616,Hyundai Eon Era,Hyundai,2013,"1,90,000",39700,Petrol
617,Hyundai Elantra 1.8,Hyundai,2012,"5,00,000",65000,Petrol
618,Maruti Suzuki Swift,Maruti,2010,"2,70,000",67000,Diesel
619,Maruti Suzuki Zen,Maruti,2008,"1,25,000",46000,Petrol
620,Hyundai Eon Era,Hyundai,2012,"1,88,000",38000,Petrol
621,Hyundai Grand i10,Hyundai,2016,"3,80,000",27000,Petrol
622,Hyundai Verna Fluidic,Hyundai,2011,"3,65,000",43000,Diesel
623,Ford EcoSport Trend,Ford,2014,"4,65,000",47000,Petrol
624,Hyundai i20 Magna,Hyundai,2011,"2,40,000",42000,Petrol
625,Chevrolet Beat Diesel,Chevrolet,2016,"1,79,999",19336,Diesel
626,Tata Indica eV2,Tata,2015,"1,40,000",60105,Diesel
627,Jaguar XF 2.2,Jaguar,2013,"21,90,000",29000,Diesel
628,Audi Q5 2.0,Audi,2014,"23,90,000",34000,Diesel
629,BMW 3 Series,BMW,2011,"10,75,000",35000,Diesel
630,Maruti Suzuki Swift,Maruti,2015,"4,75,000",22000,Petrol
631,BMW X1 sDrive20d,BMW,2012,"10,25,000",41000,Diesel
632,Maruti Suzuki S,Maruti,2016,"6,15,000",21000,Diesel
633,Maruti Suzuki Ertiga,Maruti,2013,"4,75,000",48000,Diesel
634,Maruti Suzuki Alto,Maruti,2016,"2,70,000",38000,Petrol
635,Honda City SV,Honda,2014,"4,75,000",34000,Diesel
636,Volkswagen Vento Comfortline,Volkswagen,2011,"2,40,000",45933,Petrol
637,Honda City 1.5,Honda,2005,"1,20,000",68000,Petrol
638,Audi A4 2.0,Audi,2016,"19,00,000",44000,Diesel
639,Mahindra KUV100,Mahindra,2017,"3,60,000",35000,Diesel
640,Tata Zest XE,Tata,2018,"4,50,000",102563,Diesel
641,Mahindra XUV500 W8,Mahindra,2015,"9,00,000",28600,Diesel
642,Maruti Suzuki Swift,Maruti,2017,"6,50,000",41800,Diesel
643,Tata Sumo Gold,Tata,2014,"2,75,000",116000,Diesel
644,Maruti Suzuki Swift,Maruti,2009,"2,10,000",59000,Petrol
645,Mahindra Scorpio 2.6,Mahindra,2004,"1,75,000",58000,Diesel
646,Maruti Suzuki Omni,Maruti,2009,"85,000",45000,Petrol
647,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,90,000",42590,Diesel
648,Renault Duster,Renault,2014,"8,00,000",7400,Diesel
649,Volkswagen Jetta Comfortline,Volkswagen,2009,"4,50,000",54500,Diesel
650,Maruti Suzuki Ertiga,Maruti,2012,"10,00,000",200000,Diesel
651,Audi A4 2.0,Audi,2013,"15,10,000",27000,Diesel
652,Volvo S80 Summum,Volvo,2015,"18,50,000",42000,Diesel
653,Toyota Corolla Altis,Toyota,2014,"7,90,000",29000,Petrol
654,Mitsubishi Pajero Sport,Mitsubishi,2015,"17,25,000",37000,Diesel
655,Chevrolet Beat LT,Chevrolet,2012,"1,35,000",36000,Petrol
656,BMW X1,BMW,2011,"10,00,000",34000,Diesel
657,Datsun Redi GO,Datsun,2018,"2,99,999",7000,Petrol
658,Mercedes Benz C,Mercedes,2009,"12,25,000",76000,Diesel
659,Mahindra Scorpio SLX,Mahindra,2004,"1,75,000",60000,Diesel
660,Volkswagen Vento Comfortline,Volkswagen,2011,"2,00,000",95000,Diesel
661,Tata Indigo CS,Tata,2017,"2,70,000",50000,Diesel
662,Ford Figo Petrol,Ford,2019,"5,25,000",0,Petrol
663,Honda City ZX,Honda,2006,"1,80,000",50000,Petrol
664,Maruti Suzuki Wagon,Maruti,2008,"1,40,000",68000,Petrol
665,Ford EcoSport Trend,Ford,2014,"4,00,000",16000,Petrol
666,Maruti Suzuki Swift,Maruti,2016,"4,99,000",51000,Diesel
667,Maruti Suzuki Omni,Maruti,2009,"85,000",56000,Petrol
668,Maruti Suzuki Zen,Maruti,2004,"70,000",100000,Petrol
669,Renault Duster RxL,Renault,2015,"5,50,000",36000,Petrol
670,Maruti Suzuki Swift,Maruti,2014,"3,70,000",11523,Petrol
671,Maruti Suzuki Baleno,Maruti,2018,"6,90,000",1000,Petrol
672,Honda WR V,Honda,2009,"2,50,000",60000,Petrol
673,Tata Indigo CS,Tata,2016,"1,10,000",85000,Diesel
674,Renault Duster 110,Renault,2013,"4,90,000",38600,Diesel
675,Mahindra Scorpio LX,Mahindra,2009,"3,20,000",95500,Diesel
676,Maruti Suzuki Zen,Maruti,2004,"68,000",56000,Petrol
677,Maruti Suzuki Wagon,Maruti,2014,"1,30,000",37458,Petrol
678,Maruti Suzuki SX4,Maruti,2016,"9,70,000",85960,Diesel
679,Audi A3 Cabriolet,Audi,2015,"31,00,000",12516,Petrol
680,Hyundai Eon D,Hyundai,2018,"2,80,000",35000,Petrol
681,Maruti Suzuki Zen,Maruti,2009,"1,25,000",0,Petrol
682,Mahindra Scorpio SLX,Mahindra,2008,"2,85,000",80000,Diesel
683,Hyundai Santro AE,Hyundai,2011,"1,65,000",45000,Petrol
684,Maruti Suzuki Swift,Maruti,2009,"2,50,000",51000,Diesel
685,Mahindra Scorpio S4,Mahindra,2015,"8,65,000",30000,Diesel
686,Mahindra Xylo D2,Mahindra,2011,"3,90,000",48000,Diesel
687,Hyundai Santro,Hyundai,2003,"60,000",51000,Petrol
688,Chevrolet Beat LT,Chevrolet,2015,"2,15,000",90000,Diesel
689,Maruti Suzuki Swift,Maruti,2015,"4,75,000",43000,Diesel
690,Mahindra XUV500 W8,Mahindra,2015,"8,99,000",53000,Diesel
691,Toyota Fortuner 3.0,Toyota,2013,"14,99,000",97000,Diesel
692,Maruti Suzuki Alto,Maruti,2013,"2,40,000",20000,Petrol
693,Hyundai Getz GLE,Hyundai,2007,"99,000",55000,Petrol
694,Maruti Suzuki Swift,Maruti,2014,"2,60,000",120000,Diesel
695,Hyundai Creta 1.6,Hyundai,2019,"12,00,000",0,Petrol
696,Hyundai Santro Xing,Hyundai,2007,"1,15,000",46000,Petrol
697,Hyundai Santro Xing,Hyundai,2009,"88,000",43200,Petrol
698,Mahindra Xylo D2,Mahindra,2011,"3,90,000",56000,Diesel
699,Hyundai Santro Xing,Hyundai,2007,"1,35,000",42000,Petrol
700,Tata Indica V2,Tata,2009,"90,000",30600,Diesel
701,Hyundai i10 Sportz,Hyundai,2011,"2,20,000",38000,Petrol
702,Hyundai Grand i10,Hyundai,2017,"4,24,999",2550,Petrol
703,Hyundai Santro Xing,Hyundai,2007,"1,35,000",47000,Petrol
704,Honda City 1.5,Honda,2005,"95,000",41000,Petrol
705,Nissan Micra XL,Nissan,2017,"4,30,000",62500,Diesel
706,Honda City 1.5,Honda,2005,"1,15,000",68000,Petrol
707,Maruti Suzuki Alto,Maruti,2015,"2,15,000",50000,Petrol
708,Maruti Suzuki Wagon,Maruti,2004,"53,000",69000,Petrol
709,Maruti Suzuki Ertiga,Maruti,2012,"5,00,000",48000,Diesel
710,Tata Indica eV2,Tata,2012,"85,000",55000,Diesel
711,Maruti Suzuki Omni,Maruti,2013,"1,65,000",25000,Petrol
712,Hyundai Eon Era,Hyundai,2014,"2,00,000",28400,Petrol
713,Hyundai Eon,Hyundai,2014,"2,00,000",28000,Petrol
714,Maruti Suzuki Swift,Maruti,2015,"4,25,000",42000,Diesel
715,Hyundai Verna 1.6,Hyundai,2012,"6,00,000",29000,Diesel
716,Chevrolet Tavera LS,Chevrolet,2005,"1,30,000",68485,Diesel
717,Tata Tiago Revotron,Tata,2018,"4,30,000",3500,Petrol
718,Tata Tiago Revotorq,Tata,2019,"5,68,500",0,Petrol
719,Maruti Suzuki Zen,Maruti,2006,"71,000",32000,Petrol
720,Mahindra KUV100 K8,Mahindra,2018,"5,60,000",8000,Diesel
721,Ford EcoSport Titanium,Ford,2014,"5,90,000",34000,Diesel
722,Hindustan Motors Ambassador,Hindustan,1995,"7,50,000",37000,Petrol
723,Ford Fusion 1.4,Ford,2007,"1,25,000",85455,Diesel
724,Hyundai Santro Xing,Hyundai,2007,"1,35,000",46000,Petrol
725,Hyundai Santro,Hyundai,2002,"60,000",47000,Petrol
726,Fiat Linea Emotion,Fiat,2009,"1,20,000",64000,Petrol
727,Ford Ikon 1.3,Ford,2008,"95,000",46000,Petrol
728,Maruti Suzuki Omni,Maruti,2017,"2,40,000",8000,Petrol
729,Tata Indica V2,Tata,2012,"1,15,000",64000,Diesel
730,Mahindra Scorpio S4,Mahindra,2015,"7,95,000",63000,Diesel
731,Hyundai Santro Xing,Hyundai,2007,"55,000",65000,Petrol
732,Mahindra Xylo D2,Mahindra,2009,"3,00,000",62000,Diesel
733,Hyundai Grand i10,Hyundai,2014,"3,20,000",41000,Petrol
734,Maruti Suzuki Alto,Maruti,2015,"2,65,000",14000,Petrol
735,Toyota Corolla,Toyota,2006,"1,60,000",40000,Petrol
736,Hyundai Eon Magna,Hyundai,2017,"3,00,000",1600,Petrol
737,Tata Sumo Grande,Tata,2010,"1,30,000",90000,Diesel
738,Maruti Suzuki Swift,Maruti,2011,"2,50,000",58000,Diesel
739,Volkswagen Polo Highline1.2L,Volkswagen,2013,"3,80,000",27000,Petrol
740,Maruti Suzuki Alto,Maruti,2003,"42,000",60000,Petrol
741,Tata Tiago Revotron,Tata,2017,"4,00,000",31000,Petrol
742,Maruti Suzuki Swift,Maruti,2009,"1,20,000",90000,Diesel
743,Maruti Suzuki Swift,Maruti,2009,"1,20,000",90000,Diesel
744,Tata Indigo eCS,Tata,2016,"1,30,000",150000,Diesel
745,Chevrolet Beat LS,Chevrolet,2014,"1,89,000",31000,Diesel
746,Mahindra Xylo E8,Mahindra,2011,"3,65,000",43000,Diesel
747,Hyundai Eon D,Hyundai,2013,"1,70,000",20000,Petrol
748,Tata Sumo Gold,Tata,2013,"2,15,000",100000,Petrol
749,Tata Nano,Tata,2013,"60,000",7000,Petrol
750,Hyundai Elite i20,Hyundai,2017,"5,99,999",31000,Petrol
751,Hyundai i10 Magna,Hyundai,2009,"4,00,000",33000,Petrol
752,Hyundai Creta,Hyundai,2016,"9,00,000",60000,Diesel
753,Volkswagen Polo,Volkswagen,2013,"2,99,999",48000,Diesel
754,Maruti Suzuki Dzire,Maruti,2014,"3,74,999",33000,Petrol
755,Tata Bolt XM,Tata,2015,"6,00,000",15000,Petrol
756,Maruti Suzuki Alto,Maruti,2005,"70,000",47000,Petrol
757,Maruti Suzuki Alto,Maruti,2005,"1,00,000",40000,Petrol
758,Maruti Suzuki Ritz,Maruti,2010,"1,50,000",38000,Diesel
759,Maruti Suzuki Alto,Maruti,2017,"2,25,000",12500,Petrol
